person_uuid,publication_uuid
0.0,0.0
0.0,98.0
0.0,58.0
0.0,56.0
0.0,12.0
0.0,94.0
0.0,50.0
0.0,40.0
0.0,19.0
0.0,35.0
1.0,1.0
1.0,60.0
1.0,81.0
1.0,87.0
1.0,72.0
1.0,50.0
1.0,13.0
1.0,39.0
1.0,53.0
1.0,42.0
2.0,2.0
2.0,75.0
2.0,11.0
2.0,13.0
2.0,95.0
2.0,8.0
2.0,57.0
2.0,0.0
2.0,37.0
2.0,78.0
3.0,3.0
3.0,68.0
3.0,5.0
3.0,74.0
3.0,27.0
3.0,21.0
3.0,48.0
3.0,80.0
3.0,28.0
3.0,44.0
4.0,4.0
4.0,71.0
4.0,19.0
4.0,98.0
4.0,72.0
4.0,61.0
4.0,22.0
4.0,18.0
4.0,58.0
4.0,25.0
5.0,5.0
5.0,36.0
5.0,10.0
5.0,50.0
5.0,60.0
5.0,9.0
5.0,90.0
5.0,52.0
5.0,15.0
5.0,73.0
6.0,6.0
6.0,54.0
6.0,48.0
6.0,54.0
6.0,71.0
6.0,4.0
6.0,18.0
6.0,37.0
6.0,61.0
6.0,32.0
7.0,7.0
7.0,96.0
7.0,86.0
7.0,89.0
7.0,57.0
7.0,69.0
7.0,2.0
7.0,97.0
7.0,81.0
7.0,82.0
8.0,8.0
8.0,18.0
8.0,45.0
8.0,82.0
8.0,97.0
8.0,78.0
8.0,95.0
8.0,51.0
8.0,98.0
8.0,86.0
9.0,9.0
9.0,5.0
9.0,37.0
9.0,72.0
9.0,62.0
9.0,24.0
9.0,30.0
9.0,41.0
9.0,60.0
9.0,54.0
10.0,10.0
10.0,18.0
10.0,58.0
10.0,83.0
10.0,29.0
10.0,38.0
10.0,33.0
10.0,49.0
10.0,23.0
10.0,48.0
11.0,11.0
11.0,91.0
11.0,16.0
11.0,21.0
11.0,67.0
11.0,67.0
11.0,39.0
11.0,44.0
11.0,30.0
11.0,25.0
12.0,12.0
12.0,89.0
12.0,90.0
12.0,42.0
12.0,90.0
12.0,85.0
12.0,9.0
12.0,62.0
12.0,85.0
12.0,69.0
13.0,13.0
13.0,76.0
13.0,3.0
13.0,83.0
13.0,9.0
13.0,42.0
13.0,8.0
13.0,65.0
13.0,89.0
13.0,89.0
14.0,14.0
14.0,55.0
14.0,43.0
14.0,31.0
14.0,68.0
14.0,68.0
14.0,82.0
14.0,55.0
14.0,16.0
14.0,63.0
15.0,15.0
15.0,5.0
15.0,72.0
15.0,73.0
15.0,67.0
15.0,70.0
15.0,25.0
15.0,77.0
15.0,49.0
15.0,23.0
16.0,16.0
16.0,96.0
16.0,23.0
16.0,63.0
16.0,15.0
16.0,56.0
16.0,2.0
16.0,58.0
16.0,93.0
16.0,5.0
17.0,17.0
17.0,6.0
17.0,52.0
17.0,50.0
17.0,1.0
17.0,22.0
17.0,83.0
17.0,66.0
17.0,42.0
17.0,58.0
18.0,18.0
18.0,9.0
18.0,66.0
18.0,10.0
18.0,12.0
18.0,86.0
18.0,37.0
18.0,35.0
18.0,42.0
18.0,1.0
19.0,19.0
19.0,51.0
19.0,19.0
19.0,57.0
19.0,67.0
19.0,79.0
19.0,37.0
19.0,45.0
19.0,98.0
19.0,44.0
20.0,20.0
20.0,72.0
20.0,81.0
20.0,92.0
20.0,36.0
20.0,96.0
20.0,84.0
20.0,32.0
20.0,9.0
20.0,47.0
21.0,21.0
21.0,93.0
21.0,98.0
21.0,49.0
21.0,85.0
21.0,59.0
21.0,23.0
21.0,4.0
21.0,38.0
21.0,48.0
22.0,22.0
22.0,82.0
22.0,41.0
22.0,79.0
22.0,57.0
22.0,26.0
22.0,85.0
22.0,34.0
22.0,76.0
22.0,35.0
23.0,23.0
23.0,53.0
23.0,72.0
23.0,75.0
23.0,43.0
23.0,57.0
23.0,56.0
23.0,4.0
23.0,25.0
23.0,48.0
24.0,24.0
24.0,88.0
24.0,64.0
24.0,7.0
24.0,32.0
24.0,76.0
24.0,77.0
24.0,26.0
24.0,33.0
